order_id,order_date,category,product,quantity,unit_price,revenue,region,channel
1,2024-04-14,Electronics,Smartwatch,3,686.37,2059.11,EMEA,Partner
2,2024-02-21,Clothing,T-Shirt,4,195.49,781.96,APAC,Partner
3,2023-07-22,Home & Garden,Coffee Maker,3,73.05,219.15,EMEA,Partner
4,2023-08-31,Sports,Water Bottle,3,248.6,745.8,AMER,Online
5,2024-03-28,Electronics,Tablet,5,142.54,712.7,EMEA,Store
6,2024-06-14,Electronics,Smartwatch,1,564.06,564.06,AMER,Partner
7,2023-09-13,Sports,Water Bottle,2,66.45,132.9,AMER,Online
8,2024-02-12,Home & Garden,Coffee Maker,5,105.63,528.15,AMER,Partner
9,2023-09-14,Home & Garden,Blender,1,61.86,61.86,APAC,Online
10,2023-05-05,Home & Garden,Coffee Maker,2,76.6,153.2,AMER,Partner
11,2024-01-19,Books,SQL for Analytics,4,51.63,206.52,EMEA,Online
12,2023-07-31,Sports,Bike Helmet,5,243.38,1216.9,APAC,Online
13,2023-04-20,Clothing,Sneakers,5,40.85,204.25,APAC,Online
14,2024-01-21,Sports,Water Bottle,3,202.81,608.43,EMEA,Partner
15,2023-03-18,Home & Garden,Plant Pot,1,89.62,89.62,EMEA,Online
16,2023-11-06,Home & Garden,Candle,5,75.95,379.75,EMEA,Partner
17,2023-11-02,Home & Garden,Candle,1,87.5,87.5,APAC,Online
18,2023-04-28,Sports,Yoga Mat,5,136.65,683.25,EMEA,Store
19,2023-02-01,Books,The Pragmatic Programmer,5,21.7,108.5,APAC,Online
20,2023-11-01,Books,Data Engineering,1,43.1,43.1,AMER,Partner
21,2024-03-21,Books,Clean Code,3,30.32,90.96,EMEA,Online
22,2024-01-31,Clothing,T-Shirt,4,31.66,126.64,APAC,Store
23,2023-03-25,Sports,Yoga Mat,5,155.3,776.5,AMER,Partner
24,2023-06-14,Home & Garden,Plant Pot,2,63.34,126.68,APAC,Store
25,2023-03-06,Sports,Dumbbells,2,35.42,70.84,AMER,Partner
26,2023-05-26,Clothing,Hat,3,144.45,433.35,APAC,Partner
27,2023-09-03,Clothing,Sneakers,4,147.62,590.48,APAC,Online
28,2023-09-07,Electronics,Laptop,1,1358.77,1358.77,APAC,Online
29,2023-04-07,Sports,Dumbbells,3,177.97,533.91,AMER,Partner
30,2023-08-25,Electronics,Smartwatch,4,1093.22,4372.88,EMEA,Store
31,2023-02-16,Electronics,Tablet,4,992.28,3969.12,APAC,Store
32,2023-06-30,Sports,Yoga Mat,1,153.26,153.26,AMER,Online
33,2023-04-04,Sports,Yoga Mat,4,180.42,721.68,EMEA,Partner
34,2023-11-20,Books,SQL for Analytics,4,27.34,109.36,EMEA,Online
35,2024-03-04,Electronics,Camera,3,749.34,2248.02,EMEA,Online
36,2024-05-27,Clothing,Jacket,3,105.78,317.34,EMEA,Store
37,2023-07-01,Home & Garden,Plant Pot,5,47.38,236.9,AMER,Store
38,2024-03-27,Books,SQL for Analytics,2,11.08,22.16,EMEA,Partner
39,2023-03-01,Home & Garden,Coffee Maker,2,87.57,175.14,AMER,Partner
40,2024-02-02,Electronics,Headphones,4,1006.16,4024.64,APAC,Partner
41,2023-05-06,Clothing,T-Shirt,5,184.46,922.3,EMEA,Online
42,2024-03-29,Electronics,Tablet,2,587.84,1175.68,AMER,Partner
43,2023-06-09,Books,Data Engineering,4,57.64,230.56,AMER,Store
44,2023-04-01,Books,Data Engineering,1,56.8,56.8,AMER,Online
45,2024-05-02,Clothing,Jacket,1,198.59,198.59,EMEA,Partner
46,2023-10-11,Books,The Pragmatic Programmer,1,54.67,54.67,AMER,Online
47,2023-07-24,Electronics,Smartwatch,3,1009.41,3028.23,APAC,Online
48,2024-05-27,Sports,Water Bottle,1,86.11,86.11,APAC,Online
49,2023-03-25,Electronics,Laptop,5,1255.11,6275.55,APAC,Online
50,2023-04-18,Clothing,Jacket,1,176.79,176.79,EMEA,Online
51,2023-10-01,Books,Clean Code,3,58.59,175.77,AMER,Online
52,2023-03-14,Books,Python Cookbook,2,21.48,42.96,EMEA,Partner
53,2024-01-15,Books,Python Cookbook,5,35.32,176.6,APAC,Store
54,2024-01-27,Home & Garden,Coffee Maker,1,122.58,122.58,EMEA,Partner
55,2024-05-22,Books,Python Cookbook,3,16.19,48.57,EMEA,Store
56,2023-12-29,Books,Data Engineering,3,34.43,103.29,EMEA,Partner
57,2023-01-14,Home & Garden,Blender,3,139.47,418.41,AMER,Store
58,2023-03-18,Electronics,Smartwatch,4,203.55,814.2,APAC,Store
59,2024-05-25,Electronics,Camera,1,914.26,914.26,APAC,Partner
60,2023-01-10,Home & Garden,Plant Pot,5,119.87,599.35,AMER,Online
61,2023-05-08,Clothing,Hat,3,162.41,487.23,AMER,Store
62,2023-11-26,Sports,Water Bottle,4,261.64,1046.56,EMEA,Store
63,2023-12-23,Electronics,Headphones,1,667.53,667.53,APAC,Partner
64,2023-05-10,Clothing,Jacket,2,60.85,121.7,APAC,Partner
65,2023-02-06,Books,The Pragmatic Programmer,5,15.26,76.3,AMER,Store
66,2023-06-19,Clothing,T-Shirt,2,167.56,335.12,APAC,Online
67,2023-06-05,Books,The Pragmatic Programmer,1,18.28,18.28,AMER,Online
68,2023-01-31,Home & Garden,Coffee Maker,4,12.96,51.84,EMEA,Online
69,2024-01-08,Books,Python Cookbook,3,39.56,118.68,APAC,Store
70,2024-04-23,Books,Data Engineering,4,35.23,140.92,APAC,Partner
71,2023-05-10,Home & Garden,Coffee Maker,5,35.41,177.05,EMEA,Online
72,2023-01-27,Sports,Running Shoes,2,130.72,261.44,EMEA,Store
73,2024-03-31,Books,SQL for Analytics,1,15.08,15.08,EMEA,Online
74,2024-04-06,Home & Garden,Cushion,5,23.88,119.4,APAC,Partner
75,2024-03-02,Clothing,Hat,3,163.37,490.11,AMER,Store
76,2023-10-21,Sports,Water Bottle,5,49.02,245.1,EMEA,Store
77,2023-07-30,Books,The Pragmatic Programmer,4,33.14,132.56,APAC,Store
78,2023-09-19,Clothing,Jeans,3,40.86,122.58,EMEA,Store
79,2023-07-20,Sports,Dumbbells,3,116.58,349.74,APAC,Online
